ID,Data,Time
Pump_percentage,61.1,81683.077
flow,0.063,81684.084
Pump_percentage,60.9,81684.086
flow,0.0708,81685.088
Pump_percentage,60.8,81685.09
flow,0.0756,81686.104
Pump_percentage,60.6,81686.106
flow,0.075,81687.108
Pump_percentage,60.5,81687.109
flow,0.0666,81688.112
Pump_percentage,60.4,81688.114
flow,0.0546,81689.121
Pump_percentage,60.3,81689.123
flow,0.0408,81690.125
Pump_percentage,60.4,81690.127
flow,0.0138,81691.133
Pump_percentage,60.5,81691.134
flow,0.0036,81692.132
Pump_percentage,60.7,81692.134
flow,0.0006,81693.149
Pump_percentage,60.8,81693.151
flow,0.0,81694.148
Pump_percentage,60.9,81694.15
flow,0.0,81695.152
Pump_percentage,61.0,81695.154
flow,0.0,81696.164
Pump_percentage,61.1,81696.166
flow,0.0,81697.164
Pump_percentage,61.2,81697.166
flow,0.0,81698.168
Pump_percentage,61.4,81698.17
flow,0.027,81699.168
Pump_percentage,61.3,81699.17
flow,0.0486,81700.176
Pump_percentage,61.2,81700.178
flow,0.0606,81701.19
Pump_percentage,61.0,81701.192
flow,0.0678,81702.204
Pump_percentage,60.9,81702.206
flow,0.072,81703.208
Pump_percentage,60.7,81703.21
flow,0.0726,81704.225
Pump_percentage,60.6,81704.226
flow,0.0666,81705.237
Pump_percentage,60.5,81705.238
flow,0.0558,81706.24
Pump_percentage,60.5,81706.242
flow,0.0366,81707.245
Pump_percentage,60.5,81707.247
flow,0.0126,81708.249
Pump_percentage,60.7,81708.251
flow,0.0036,81709.257
Pump_percentage,60.8,81709.259
flow,0.0006,81710.26
Pump_percentage,60.9,81710.262
flow,0.0,81711.265
Pump_percentage,61.0,81711.266
flow,0.0,81712.28
Pump_percentage,61.2,81712.282
flow,0.0,81713.279
Pump_percentage,61.3,81713.281
flow,0.0258,81714.296
Pump_percentage,61.2,81714.298
flow,0.0486,81715.304
Pump_percentage,61.1,81715.306
flow,0.0606,81716.308
Pump_percentage,61.0,81716.31
flow,0.0696,81717.316
Pump_percentage,60.8,81717.318
flow,0.075,81718.321
Pump_percentage,60.6,81718.322
flow,0.0708,81719.321
Pump_percentage,60.5,81719.322
flow,0.063,81720.329
Pump_percentage,60.4,81720.33
flow,0.0498,81721.333
Pump_percentage,60.4,81721.334
flow,0.027,81722.34
Pump_percentage,60.5,81722.342
flow,0.009,81723.348
Pump_percentage,60.7,81723.35
flow,0.003,81724.353
Pump_percentage,60.8,81724.354
flow,0.0,81725.361
Pump_percentage,60.9,81725.362
flow,0.0,81726.368
Pump_percentage,61.0,81726.37
flow,0.0,81727.384
Pump_percentage,61.1,81727.386
flow,0.0,81728.384
Pump_percentage,61.3,81728.386
flow,0.0,81729.4
Pump_percentage,61.4,81729.401
flow,0.0318,81730.412
Pump_percentage,61.3,81730.413
flow,0.0516,81731.425
Pump_percentage,61.1,81731.426
flow,0.0636,81732.42
Pump_percentage,61.0,81732.421
flow,0.0726,81733.429
Pump_percentage,60.8,81733.43
flow,0.0756,81734.437
Pump_percentage,60.7,81734.438
flow,0.072,81735.44
Pump_percentage,60.6,81735.442
flow,0.0606,81736.44
Pump_percentage,60.5,81736.442
flow,0.045,81737.457
Pump_percentage,60.5,81737.458
flow,0.0186,81738.46
Pump_percentage,60.6,81738.462
flow,0.006,81739.462
Pump_percentage,60.8,81739.463
flow,0.0006,81740.476
Pump_percentage,60.9,81740.478
flow,0.0,81741.492
Pump_percentage,61.0,81741.494
