ID,Data
secret,[[0.012]]
b2,"(48, 1)"
secret,"[[0.4003]
 [0.4149]
 [0.4007]
 [0.4155]
 [0.3967]
 [0.4116]
 [0.4252]
 [0.4376]
 [0.4258]
 [0.4388]
 [0.4609]
 [0.4739]
 [0.4656]
 [0.4801]
 [0.4545]
 [0.4721]
 [0.3999]
 [0.4255]
 [0.3954]
 [0.4241]
 [0.3899]
 [0.4215]
 [0.3751]
 [0.4114]
 [0.3872]
 [0.4244]
 [0.4044]
 [0.4417]
 [0.4105]
 [0.4494]
 [0.357 ]
 [0.407 ]
 [0.3167]
 [0.3768]
 [0.3503]
 [0.4075]
 [0.3894]
 [0.4422]
 [0.4213]
 [0.4648]
 [0.4372]
 [0.4781]
 [0.4657]
 [0.5019]
 [0.5023]
 [0.5317]
 [0.7108]
 [0.7178]]"
b2,"(48, 1)"
secret,"[[0.2836]
 [0.2945]
 [0.2839]
 [0.295 ]
 [0.2809]
 [0.292 ]
 [0.3022]
 [0.3116]
 [0.3028]
 [0.3125]
 [0.3286]
 [0.3384]
 [0.3331]
 [0.344 ]
 [0.3248]
 [0.338 ]
 [0.2838]
 [0.3029]
 [0.2805]
 [0.3019]
 [0.2763]
 [0.3   ]
 [0.2653]
 [0.2925]
 [0.2744]
 [0.3023]
 [0.2874]
 [0.3153]
 [0.2921]
 [0.3211]
 [0.252 ]
 [0.2893]
 [0.2217]
 [0.2669]
 [0.247 ]
 [0.29  ]
 [0.2763]
 [0.3159]
 [0.298 ]
 [0.3306]
 [0.31  ]
 [0.3406]
 [0.3314]
 [0.3584]
 [0.3588]
 [0.3807]
 [0.5154]
 [0.5205]]"
b2,"(1, 1)"
secret,[[0.0082]]
b2,"(48, 1)"
secret,"[[0.372 ]
 [0.388 ]
 [0.3725]
 [0.3884]
 [0.3683]
 [0.3843]
 [0.3992]
 [0.4128]
 [0.4   ]
 [0.4142]
 [0.4365]
 [0.4506]
 [0.4451]
 [0.461 ]
 [0.4332]
 [0.4521]
 [0.3734]
 [0.4012]
 [0.3687]
 [0.4   ]
 [0.363 ]
 [0.3973]
 [0.3471]
 [0.3863]
 [0.3606]
 [0.4008]
 [0.3797]
 [0.42  ]
 [0.3868]
 [0.4287]
 [0.3287]
 [0.3826]
 [0.2852]
 [0.3504]
 [0.3225]
 [0.3845]
 [0.3645]
 [0.4216]
 [0.3914]
 [0.4388]
 [0.4086]
 [0.453 ]
 [0.4399]
 [0.4788]
 [0.4795]
 [0.5111]
 [0.7066]
 [0.7137]]"
b2,"(48, 1)"
secret,"[[0.2805]
 [0.2928]
 [0.2809]
 [0.2932]
 [0.2777]
 [0.29  ]
 [0.3014]
 [0.3118]
 [0.302 ]
 [0.3128]
 [0.3292]
 [0.34  ]
 [0.3366]
 [0.3488]
 [0.3274]
 [0.3419]
 [0.2818]
 [0.303 ]
 [0.2782]
 [0.3021]
 [0.2738]
 [0.3   ]
 [0.2616]
 [0.2916]
 [0.272 ]
 [0.3027]
 [0.2865]
 [0.3173]
 [0.2919]
 [0.324 ]
 [0.2474]
 [0.2888]
 [0.2142]
 [0.2641]
 [0.2427]
 [0.2901]
 [0.2744]
 [0.3181]
 [0.2933]
 [0.3295]
 [0.3062]
 [0.3402]
 [0.3301]
 [0.3598]
 [0.3602]
 [0.3845]
 [0.5336]
 [0.539 ]]"
b2,"(1, 1)"
secret,[[0.0062]]
b2,"(48, 1)"
secret,"[[0.3437]
 [0.361 ]
 [0.3445]
 [0.3617]
 [0.34  ]
 [0.3572]
 [0.3734]
 [0.388 ]
 [0.3746]
 [0.3895]
 [0.4119]
 [0.427 ]
 [0.4247]
 [0.4417]
 [0.412 ]
 [0.4321]
 [0.3472]
 [0.377 ]
 [0.3424]
 [0.3757]
 [0.3363]
 [0.3731]
 [0.3193]
 [0.3615]
 [0.3343]
 [0.3774]
 [0.3552]
 [0.3984]
 [0.3631]
 [0.4081]
 [0.3004]
 [0.3586]
 [0.2542]
 [0.3245]
 [0.2948]
 [0.3617]
 [0.3395]
 [0.401 ]
 [0.3625]
 [0.4133]
 [0.378 ]
 [0.4257]
 [0.4116]
 [0.4534]
 [0.4543]
 [0.4881]
 [0.6996]
 [0.7069]]"
b2,"(48, 1)"
secret,"[[0.2776]
 [0.2911]
 [0.2782]
 [0.2916]
 [0.2747]
 [0.2881]
 [0.3006]
 [0.312 ]
 [0.3015]
 [0.3132]
 [0.3298]
 [0.3416]
 [0.3403]
 [0.3536]
 [0.3303]
 [0.3462]
 [0.28  ]
 [0.3033]
 [0.2762]
 [0.3022]
 [0.2714]
 [0.3001]
 [0.2581]
 [0.291 ]
 [0.2697]
 [0.3033]
 [0.2859]
 [0.3195]
 [0.2919]
 [0.3269]
 [0.2431]
 [0.2884]
 [0.2069]
 [0.2618]
 [0.2384]
 [0.2904]
 [0.2725]
 [0.3203]
 [0.2902]
 [0.3297]
 [0.3013]
 [0.3385]
 [0.3274]
 [0.36  ]
 [0.3606]
 [0.3869]
 [0.5508]
 [0.5564]]"
b2,"(1, 1)"
secret,[[0.0052]]
b2,"(48, 1)"
secret,"[[0.3174]
 [0.336 ]
 [0.3182]
 [0.3367]
 [0.3135]
 [0.3321]
 [0.3494]
 [0.3651]
 [0.3506]
 [0.3667]
 [0.3884]
 [0.4045]
 [0.4062]
 [0.4244]
 [0.3924]
 [0.4138]
 [0.3228]
 [0.3545]
 [0.3178]
 [0.3533]
 [0.3113]
 [0.3507]
 [0.2933]
 [0.3385]
 [0.3097]
 [0.3559]
 [0.3325]
 [0.3786]
 [0.3412]
 [0.3893]
 [0.274 ]
 [0.3362]
 [0.2245]
 [0.3001]
 [0.2688]
 [0.3404]
 [0.3156]
 [0.3814]
 [0.3343]
 [0.3889]
 [0.3473]
 [0.3984]
 [0.3834]
 [0.428 ]
 [0.4289]
 [0.4649]
 [0.6916]
 [0.699 ]]"
b2,"(48, 1)"
secret,"[[0.2749]
 [0.2896]
 [0.2756]
 [0.2902]
 [0.2717]
 [0.2865]
 [0.3001]
 [0.3125]
 [0.301 ]
 [0.3138]
 [0.3303]
 [0.343 ]
 [0.3445]
 [0.3588]
 [0.3335]
 [0.3505]
 [0.2784]
 [0.3036]
 [0.2743]
 [0.3026]
 [0.2692]
 [0.3004]
 [0.2548]
 [0.2907]
 [0.2674]
 [0.3042]
 [0.2854]
 [0.3221]
 [0.2921]
 [0.3303]
 [0.2389]
 [0.2882]
 [0.1996]
 [0.2596]
 [0.2342]
 [0.291 ]
 [0.2706]
 [0.3227]
 [0.2865]
 [0.3298]
 [0.2957]
 [0.3362]
 [0.3241]
 [0.3595]
 [0.3599]
 [0.3885]
 [0.567 ]
 [0.5729]]"
b2,"(1, 1)"
secret,[[0.0047]]
b2,"(48, 1)"
secret,"[[0.2939]
 [0.3137]
 [0.2948]
 [0.3146]
 [0.2897]
 [0.3095]
 [0.328 ]
 [0.3449]
 [0.3296]
 [0.3468]
 [0.367 ]
 [0.3841]
 [0.3905]
 [0.4097]
 [0.3755]
 [0.3983]
 [0.3011]
 [0.3349]
 [0.2958]
 [0.3336]
 [0.2891]
 [0.3311]
 [0.2699]
 [0.318 ]
 [0.2876]
 [0.3369]
 [0.3125]
 [0.3613]
 [0.322 ]
 [0.373 ]
 [0.2504]
 [0.3165]
 [0.198 ]
 [0.2786]
 [0.2457]
 [0.3218]
 [0.2942]
 [0.364 ]
 [0.3086]
 [0.3665]
 [0.3178]
 [0.3721]
 [0.3561]
 [0.4035]
 [0.4045]
 [0.4426]
 [0.684 ]
 [0.6914]]"
b2,"(48, 1)"
secret,"[[0.2738]
 [0.2951]
 [0.2749]
 [0.296 ]
 [0.2695]
 [0.2909]
 [0.3104]
 [0.3282]
 [0.312 ]
 [0.3303]
 [0.349 ]
 [0.3671]
 [0.378 ]
 [0.3981]
 [0.3622]
 [0.3862]
 [0.2827]
 [0.3187]
 [0.2773]
 [0.3173]
 [0.2703]
 [0.3147]
 [0.2502]
 [0.3012]
 [0.2692]
 [0.3213]
 [0.2959]
 [0.3476]
 [0.3064]
 [0.3601]
 [0.2302]
 [0.3004]
 [0.175 ]
 [0.2607]
 [0.2259]
 [0.3068]
 [0.2756]
 [0.3495]
 [0.2857]
 [0.3471]
 [0.2915]
 [0.3492]
 [0.3304]
 [0.3808]
 [0.3815]
 [0.4218]
 [0.6774]
 [0.6845]]"
b2,"(48, 1)"
secret,"[[0.2574]
 [0.2799]
 [0.2586]
 [0.2809]
 [0.253 ]
 [0.2756]
 [0.2962]
 [0.315 ]
 [0.2979]
 [0.3172]
 [0.3358]
 [0.355 ]
 [0.3694]
 [0.3906]
 [0.3525]
 [0.3777]
 [0.2681]
 [0.306 ]
 [0.2626]
 [0.3049]
 [0.2553]
 [0.3022]
 [0.234 ]
 [0.2879]
 [0.2544]
 [0.3095]
 [0.283 ]
 [0.3373]
 [0.2942]
 [0.3508]
 [0.2137]
 [0.2877]
 [0.1554]
 [0.2462]
 [0.2098]
 [0.2951]
 [0.2606]
 [0.3383]
 [0.266 ]
 [0.331 ]
 [0.2692]
 [0.3302]
 [0.3068]
 [0.36  ]
 [0.3604]
 [0.4029]
 [0.6719]
 [0.6791]]"
b2,"(48, 1)"
secret,"[[0.2447]
 [0.2685]
 [0.246 ]
 [0.2696]
 [0.2403]
 [0.264 ]
 [0.2857]
 [0.3057]
 [0.2876]
 [0.3082]
 [0.3264]
 [0.3466]
 [0.3643]
 [0.3865]
 [0.3463]
 [0.3727]
 [0.2572]
 [0.297 ]
 [0.2515]
 [0.2961]
 [0.2441]
 [0.2932]
 [0.2217]
 [0.2783]
 [0.2434]
 [0.3011]
 [0.2736]
 [0.3309]
 [0.2858]
 [0.345 ]
 [0.2009]
 [0.2788]
 [0.1398]
 [0.2356]
 [0.1972]
 [0.2871]
 [0.2488]
 [0.3304]
 [0.2499]
 [0.3184]
 [0.2504]
 [0.3147]
 [0.2854]
 [0.3415]
 [0.3417]
 [0.3862]
 [0.6682]
 [0.6752]]"
b2,"(48, 1)"
secret,"[[0.2357]
 [0.2607]
 [0.2372]
 [0.262 ]
 [0.2312]
 [0.2562]
 [0.2788]
 [0.2998]
 [0.2809]
 [0.3023]
 [0.3205]
 [0.3416]
 [0.3629]
 [0.3859]
 [0.3438]
 [0.3713]
 [0.2497]
 [0.2915]
 [0.2439]
 [0.2905]
 [0.236 ]
 [0.2876]
 [0.2127]
 [0.2721]
 [0.2358]
 [0.296 ]
 [0.2679]
 [0.3275]
 [0.2807]
 [0.3427]
 [0.1913]
 [0.2729]
 [0.1276]
 [0.2281]
 [0.188 ]
 [0.2823]
 [0.2401]
 [0.3254]
 [0.237 ]
 [0.3091]
 [0.2349]
 [0.3027]
 [0.2667]
 [0.3256]
 [0.3253]
 [0.3721]
 [0.6663]
 [0.6731]]"
b2,"(48, 1)"
secret,"[[0.2297]
 [0.2561]
 [0.2314]
 [0.2575]
 [0.2251]
 [0.2515]
 [0.2751]
 [0.297 ]
 [0.2772]
 [0.2997]
 [0.3178]
 [0.3398]
 [0.3642]
 [0.3884]
 [0.3443]
 [0.373 ]
 [0.2453]
 [0.289 ]
 [0.2393]
 [0.2879]
 [0.2311]
 [0.2852]
 [0.2068]
 [0.2688]
 [0.231 ]
 [0.2942]
 [0.265 ]
 [0.3272]
 [0.2787]
 [0.3432]
 [0.1849]
 [0.2702]
 [0.1183]
 [0.2237]
 [0.1819]
 [0.2805]
 [0.2339]
 [0.3232]
 [0.2272]
 [0.3027]
 [0.2224]
 [0.2937]
 [0.2503]
 [0.312 ]
 [0.3112]
 [0.3601]
 [0.6659]
 [0.6726]]"
b2,"(48, 1)"
secret,"[[0.2265]
 [0.2541]
 [0.2283]
 [0.2557]
 [0.2217]
 [0.2494]
 [0.2741]
 [0.2971]
 [0.2763]
 [0.2998]
 [0.3175]
 [0.3406]
 [0.3683]
 [0.3933]
 [0.3472]
 [0.377 ]
 [0.2436]
 [0.289 ]
 [0.2372]
 [0.2879]
 [0.2287]
 [0.2849]
 [0.2034]
 [0.2682]
 [0.2288]
 [0.2947]
 [0.2646]
 [0.3294]
 [0.2792]
 [0.3461]
 [0.1809]
 [0.2699]
 [0.1117]
 [0.2219]
 [0.1781]
 [0.2809]
 [0.2304]
 [0.3231]
 [0.22  ]
 [0.2989]
 [0.2129]
 [0.2876]
 [0.2358]
 [0.3005]
 [0.299 ]
 [0.3503]
 [0.667 ]
 [0.6735]]"
b2,"(48, 1)"
secret,"[[0.2256]
 [0.2544]
 [0.2276]
 [0.256 ]
 [0.2206]
 [0.2496]
 [0.2752]
 [0.2991]
 [0.2775]
 [0.3022]
 [0.3195]
 [0.3435]
 [0.3744]
 [0.4002]
 [0.3522]
 [0.383 ]
 [0.2436]
 [0.2909]
 [0.2372]
 [0.2898]
 [0.2283]
 [0.287 ]
 [0.2019]
 [0.2694]
 [0.2289]
 [0.2973]
 [0.2663]
 [0.3335]
 [0.2816]
 [0.3511]
 [0.1789]
 [0.2715]
 [0.107 ]
 [0.222 ]
 [0.1764]
 [0.2832]
 [0.2285]
 [0.3249]
 [0.2151]
 [0.2973]
 [0.2057]
 [0.2836]
 [0.2229]
 [0.2906]
 [0.2886]
 [0.3421]
 [0.6692]
 [0.6755]]"
b2,"(48, 1)"
secret,"[[0.2262]
 [0.2564]
 [0.2283]
 [0.258 ]
 [0.2212]
 [0.2514]
 [0.2778]
 [0.3028]
 [0.2804]
 [0.3059]
 [0.3232]
 [0.348 ]
 [0.3819]
 [0.4086]
 [0.3588]
 [0.3905]
 [0.2455]
 [0.2944]
 [0.2386]
 [0.2934]
 [0.2295]
 [0.2903]
 [0.202 ]
 [0.272 ]
 [0.2302]
 [0.301 ]
 [0.2695]
 [0.339 ]
 [0.2857]
 [0.3573]
 [0.1784]
 [0.2744]
 [0.1037]
 [0.2235]
 [0.176 ]
 [0.287 ]
 [0.2281]
 [0.328 ]
 [0.2118]
 [0.2974]
 [0.2005]
 [0.2816]
 [0.2118]
 [0.2824]
 [0.2793]
 [0.3352]
 [0.6721]
 [0.6781]]"
b2,"(48, 1)"
secret,"[[0.2282]
 [0.2596]
 [0.2303]
 [0.2613]
 [0.2229]
 [0.2544]
 [0.2818]
 [0.3077]
 [0.2843]
 [0.3109]
 [0.3281]
 [0.3538]
 [0.3905]
 [0.4181]
 [0.3664]
 [0.3991]
 [0.248 ]
 [0.2989]
 [0.2409]
 [0.2978]
 [0.2316]
 [0.2947]
 [0.203 ]
 [0.2757]
 [0.2324]
 [0.3059]
 [0.2735]
 [0.3455]
 [0.2905]
 [0.3644]
 [0.1787]
 [0.2783]
 [0.1015]
 [0.2258]
 [0.1765]
 [0.2914]
 [0.2285]
 [0.3317]
 [0.21  ]
 [0.2989]
 [0.1966]
 [0.2811]
 [0.2033]
 [0.2771]
 [0.2703]
 [0.3284]
 [0.6748]
 [0.6806]]"
b2,"(48, 1)"
secret,"[[0.2307]
 [0.2633]
 [0.233 ]
 [0.265 ]
 [0.2254]
 [0.2582]
 [0.2864]
 [0.3131]
 [0.2891]
 [0.3165]
 [0.3335]
 [0.3603]
 [0.3997]
 [0.4281]
 [0.3745]
 [0.4081]
 [0.2513]
 [0.3038]
 [0.2441]
 [0.3028]
 [0.2343]
 [0.2994]
 [0.2048]
 [0.2799]
 [0.2354]
 [0.3111]
 [0.2782]
 [0.3521]
 [0.296 ]
 [0.3719]
 [0.1797]
 [0.2826]
 [0.0996]
 [0.2287]
 [0.1775]
 [0.2963]
 [0.2294]
 [0.336 ]
 [0.2091]
 [0.3011]
 [0.194 ]
 [0.2818]
 [0.1961]
 [0.273 ]
 [0.2617]
 [0.3223]
 [0.6777]
 [0.683 ]]"
b2,"(48, 1)"
